Year,Region,Type,Sub-type,Total
2013,REGION VII (CENTRAL VISAYAS),Age,65 and above,325
2013,REGION VIII (EASTERN VISAYAS),Age,65 and above,285
2013,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,113
2013,REGION X (NORTHERN MINDANAO),Age,65 and above,281
2013,REGION XI (DAVAO REGION),Age,65 and above,229
2013,REGION XII (SOCCSKSARGEN),Age,65 and above,126
2013,REGION XIII (Caraga),Age,65 and above,79
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,10
2013,NO INFO,Age,65 and above,0
2013,NATIONAL CAPITAL REGION (NCR),Age,No info,656
2013,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,67
2013,REGION I (ILOCOS REGION),Age,No info,143
2013,REGION II (CAGAYAN VALLEY),Age,No info,24
2013,REGION III (CENTRAL LUZON),Age,No info,287
2013,REGION IV-A (CALABARZON),Age,No info,74
2013,MIMAROPA REGION,Age,No info,73
2013,REGION V (BICOL REGION),Age,No info,59
2013,REGION VI (WESTERN VISAYAS),Age,No info,17
2013,REGION VII (CENTRAL VISAYAS),Age,No info,45
2013,REGION VIII (EASTERN VISAYAS),Age,No info,13
2013,REGION IX (ZAMBOANGA PENINSULA),Age,No info,54
2013,REGION X (NORTHERN MINDANAO),Age,No info,1
2013,REGION XI (DAVAO REGION),Age,No info,68
2013,REGION XII (SOCCSKSARGEN),Age,No info,48
2013,REGION XIII (Caraga),Age,No info,32
2013,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,1
2013,NO INFO,Age,No info,0
2014,NATIONAL CAPITAL REGION (NCR),Age,<25,4
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2014,REGION I (ILOCOS REGION),Age,<25,0
2014,REGION II (CAGAYAN VALLEY),Age,<25,0
2014,REGION III (CENTRAL LUZON),Age,<25,0
2014,REGION IV-A (CALABARZON),Age,<25,2
2014,MIMAROPA REGION,Age,<25,0
2014,REGION V (BICOL REGION),Age,<25,0
2014,REGION VI (WESTERN VISAYAS),Age,<25,0
2014,REGION VII (CENTRAL VISAYAS),Age,<25,0
2014,REGION VIII (EASTERN VISAYAS),Age,<25,0
2014,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2014,REGION X (NORTHERN MINDANAO),Age,<25,2
2014,REGION XI (DAVAO REGION),Age,<25,0
2014,REGION XII (SOCCSKSARGEN),Age,<25,0
2014,REGION XIII (Caraga),Age,<25,0
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2014,NO INFO,Age,<25,0
2014,NATIONAL CAPITAL REGION (NCR),Age,25-34,553
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,8
2014,REGION I (ILOCOS REGION),Age,25-34,6
2014,REGION II (CAGAYAN VALLEY),Age,25-34,8
2014,REGION III (CENTRAL LUZON),Age,25-34,15
2014,REGION IV-A (CALABARZON),Age,25-34,33
2014,MIMAROPA REGION,Age,25-34,11
2014,REGION V (BICOL REGION),Age,25-34,5
2014,REGION VI (WESTERN VISAYAS),Age,25-34,46
2014,REGION VII (CENTRAL VISAYAS),Age,25-34,14
2014,REGION VIII (EASTERN VISAYAS),Age,25-34,6
2014,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,2
2014,REGION X (NORTHERN MINDANAO),Age,25-34,18
2014,REGION XI (DAVAO REGION),Age,25-34,6
2014,REGION XII (SOCCSKSARGEN),Age,25-34,4
2014,REGION XIII (Caraga),Age,25-34,4
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,6
2014,NO INFO,Age,25-34,0
2014,NATIONAL CAPITAL REGION (NCR),Age,35-44,2940
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,203
2014,REGION I (ILOCOS REGION),Age,35-44,188
2014,REGION II (CAGAYAN VALLEY),Age,35-44,141
2014,REGION III (CENTRAL LUZON),Age,35-44,505
2014,REGION IV-A (CALABARZON),Age,35-44,453
2014,MIMAROPA REGION,Age,35-44,54
2014,REGION V (BICOL REGION),Age,35-44,88
2014,REGION VI (WESTERN VISAYAS),Age,35-44,291
2014,REGION VII (CENTRAL VISAYAS),Age,35-44,292
2014,REGION VIII (EASTERN VISAYAS),Age,35-44,135
2014,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,114
2014,REGION X (NORTHERN MINDANAO),Age,35-44,218
2014,REGION XI (DAVAO REGION),Age,35-44,85
2014,REGION XII (SOCCSKSARGEN),Age,35-44,116
2014,REGION XIII (Caraga),Age,35-44,94
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,18
2014,NO INFO,Age,35-44,0
2014,NATIONAL CAPITAL REGION (NCR),Age,45-54,2187
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,218
2014,REGION I (ILOCOS REGION),Age,45-54,452
2014,REGION II (CAGAYAN VALLEY),Age,45-54,268
2014,REGION III (CENTRAL LUZON),Age,45-54,813
2014,REGION IV-A (CALABARZON),Age,45-54,761
2014,MIMAROPA REGION,Age,45-54,120
2014,REGION V (BICOL REGION),Age,45-54,232
2014,REGION VI (WESTERN VISAYAS),Age,45-54,316
2014,REGION VII (CENTRAL VISAYAS),Age,45-54,291
2014,REGION VIII (EASTERN VISAYAS),Age,45-54,151
2014,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,143
2014,REGION X (NORTHERN MINDANAO),Age,45-54,215
2014,REGION XI (DAVAO REGION),Age,45-54,180
2014,REGION XII (SOCCSKSARGEN),Age,45-54,254
2014,REGION XIII (Caraga),Age,45-54,107
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,13
2014,NO INFO,Age,45-54,0
2014,NATIONAL CAPITAL REGION (NCR),Age,55-64,1607
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,157
2014,REGION I (ILOCOS REGION),Age,55-64,420
2014,REGION II (CAGAYAN VALLEY),Age,55-64,219
2014,REGION III (CENTRAL LUZON),Age,55-64,555
2014,REGION IV-A (CALABARZON),Age,55-64,571
2014,MIMAROPA REGION,Age,55-64,125
2014,REGION V (BICOL REGION),Age,55-64,260
2014,REGION VI (WESTERN VISAYAS),Age,55-64,264
2014,REGION VII (CENTRAL VISAYAS),Age,55-64,223
2014,REGION VIII (EASTERN VISAYAS),Age,55-64,180
2014,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,135
2014,REGION X (NORTHERN MINDANAO),Age,55-64,193
2014,REGION XI (DAVAO REGION),Age,55-64,154
2014,REGION XII (SOCCSKSARGEN),Age,55-64,241
2014,REGION XIII (Caraga),Age,55-64,110
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,20
2014,NO INFO,Age,55-64,0
2014,NATIONAL CAPITAL REGION (NCR),Age,65 and above,1882
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,140
2014,REGION I (ILOCOS REGION),Age,65 and above,519
2014,REGION II (CAGAYAN VALLEY),Age,65 and above,152
2014,REGION III (CENTRAL LUZON),Age,65 and above,459
2014,REGION IV-A (CALABARZON),Age,65 and above,488
2014,MIMAROPA REGION,Age,65 and above,45
2014,REGION V (BICOL REGION),Age,65 and above,151
2014,REGION VI (WESTERN VISAYAS),Age,65 and above,151
2014,REGION VII (CENTRAL VISAYAS),Age,65 and above,324
2014,REGION VIII (EASTERN VISAYAS),Age,65 and above,282
2014,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,114
2014,REGION X (NORTHERN MINDANAO),Age,65 and above,282
2014,REGION XI (DAVAO REGION),Age,65 and above,227
2014,REGION XII (SOCCSKSARGEN),Age,65 and above,125
2014,REGION XIII (Caraga),Age,65 and above,79
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,10
2014,NO INFO,Age,65 and above,0
2014,NATIONAL CAPITAL REGION (NCR),Age,No info,612
2014,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,65
2014,REGION I (ILOCOS REGION),Age,No info,129
2014,REGION II (CAGAYAN VALLEY),Age,No info,24
2014,REGION III (CENTRAL LUZON),Age,No info,281
2014,REGION IV-A (CALABARZON),Age,No info,74
2014,MIMAROPA REGION,Age,No info,71
2014,REGION V (BICOL REGION),Age,No info,59
2014,REGION VI (WESTERN VISAYAS),Age,No info,17
2014,REGION VII (CENTRAL VISAYAS),Age,No info,45
2014,REGION VIII (EASTERN VISAYAS),Age,No info,13
2014,REGION IX (ZAMBOANGA PENINSULA),Age,No info,52
2014,REGION X (NORTHERN MINDANAO),Age,No info,1
2014,REGION XI (DAVAO REGION),Age,No info,68
2014,REGION XII (SOCCSKSARGEN),Age,No info,48
2014,REGION XIII (Caraga),Age,No info,32
2014,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,1
2014,NO INFO,Age,No info,0
2015,NATIONAL CAPITAL REGION (NCR),Age,<25,18
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2015,REGION I (ILOCOS REGION),Age,<25,1
2015,REGION II (CAGAYAN VALLEY),Age,<25,0
2015,REGION III (CENTRAL LUZON),Age,<25,6
2015,REGION IV-A (CALABARZON),Age,<25,4
2015,MIMAROPA REGION,Age,<25,0
2015,REGION V (BICOL REGION),Age,<25,1
2015,REGION VI (WESTERN VISAYAS),Age,<25,1
2015,REGION VII (CENTRAL VISAYAS),Age,<25,1
2015,REGION VIII (EASTERN VISAYAS),Age,<25,1
2015,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2015,REGION X (NORTHERN MINDANAO),Age,<25,19
2015,REGION XI (DAVAO REGION),Age,<25,0
2015,REGION XII (SOCCSKSARGEN),Age,<25,0
2015,REGION XIII (Caraga),Age,<25,0
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2015,NO INFO,Age,<25,0
2015,NATIONAL CAPITAL REGION (NCR),Age,25-34,669
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,84
2015,REGION I (ILOCOS REGION),Age,25-34,56
2015,REGION II (CAGAYAN VALLEY),Age,25-34,37
2015,REGION III (CENTRAL LUZON),Age,25-34,130
2015,REGION IV-A (CALABARZON),Age,25-34,112
2015,MIMAROPA REGION,Age,25-34,11
2015,REGION V (BICOL REGION),Age,25-34,35
2015,REGION VI (WESTERN VISAYAS),Age,25-34,82
2015,REGION VII (CENTRAL VISAYAS),Age,25-34,228
2015,REGION VIII (EASTERN VISAYAS),Age,25-34,64
2015,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,81
2015,REGION X (NORTHERN MINDANAO),Age,25-34,40
2015,REGION XI (DAVAO REGION),Age,25-34,70
2015,REGION XII (SOCCSKSARGEN),Age,25-34,31
2015,REGION XIII (Caraga),Age,25-34,19
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,39
2015,NO INFO,Age,25-34,0
2015,NATIONAL CAPITAL REGION (NCR),Age,35-44,3225
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,315
2015,REGION I (ILOCOS REGION),Age,35-44,300
2015,REGION II (CAGAYAN VALLEY),Age,35-44,252
2015,REGION III (CENTRAL LUZON),Age,35-44,943
2015,REGION IV-A (CALABARZON),Age,35-44,1009
2015,MIMAROPA REGION,Age,35-44,70
2015,REGION V (BICOL REGION),Age,35-44,231
2015,REGION VI (WESTERN VISAYAS),Age,35-44,539
2015,REGION VII (CENTRAL VISAYAS),Age,35-44,653
2015,REGION VIII (EASTERN VISAYAS),Age,35-44,166
2015,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,248
2015,REGION X (NORTHERN MINDANAO),Age,35-44,268
2015,REGION XI (DAVAO REGION),Age,35-44,374
2015,REGION XII (SOCCSKSARGEN),Age,35-44,172
2015,REGION XIII (Caraga),Age,35-44,113
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,87
2015,NO INFO,Age,35-44,0
2015,NATIONAL CAPITAL REGION (NCR),Age,45-54,2646
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,240
2015,REGION I (ILOCOS REGION),Age,45-54,479
2015,REGION II (CAGAYAN VALLEY),Age,45-54,315
2015,REGION III (CENTRAL LUZON),Age,45-54,1069
2015,REGION IV-A (CALABARZON),Age,45-54,1219
2015,MIMAROPA REGION,Age,45-54,115
2015,REGION V (BICOL REGION),Age,45-54,338
2015,REGION VI (WESTERN VISAYAS),Age,45-54,592
2015,REGION VII (CENTRAL VISAYAS),Age,45-54,446
2015,REGION VIII (EASTERN VISAYAS),Age,45-54,182
2015,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,221
2015,REGION X (NORTHERN MINDANAO),Age,45-54,280
2015,REGION XI (DAVAO REGION),Age,45-54,345
2015,REGION XII (SOCCSKSARGEN),Age,45-54,274
2015,REGION XIII (Caraga),Age,45-54,113
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,57
2015,NO INFO,Age,45-54,0
2015,NATIONAL CAPITAL REGION (NCR),Age,55-64,1912
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,165
2015,REGION I (ILOCOS REGION),Age,55-64,443
2015,REGION II (CAGAYAN VALLEY),Age,55-64,248
2015,REGION III (CENTRAL LUZON),Age,55-64,680
2015,REGION IV-A (CALABARZON),Age,55-64,803
2015,MIMAROPA REGION,Age,55-64,115
2015,REGION V (BICOL REGION),Age,55-64,354
2015,REGION VI (WESTERN VISAYAS),Age,55-64,452
2015,REGION VII (CENTRAL VISAYAS),Age,55-64,321
2015,REGION VIII (EASTERN VISAYAS),Age,55-64,200
2015,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,186
2015,REGION X (NORTHERN MINDANAO),Age,55-64,233
2015,REGION XI (DAVAO REGION),Age,55-64,243
2015,REGION XII (SOCCSKSARGEN),Age,55-64,250
2015,REGION XIII (Caraga),Age,55-64,113
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,56
2015,NO INFO,Age,55-64,0
2015,NATIONAL CAPITAL REGION (NCR),Age,65 and above,2601
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,190
2015,REGION I (ILOCOS REGION),Age,65 and above,547
2015,REGION II (CAGAYAN VALLEY),Age,65 and above,216
2015,REGION III (CENTRAL LUZON),Age,65 and above,936
2015,REGION IV-A (CALABARZON),Age,65 and above,722
2015,MIMAROPA REGION,Age,65 and above,103
2015,REGION V (BICOL REGION),Age,65 and above,253
2015,REGION VI (WESTERN VISAYAS),Age,65 and above,255
2015,REGION VII (CENTRAL VISAYAS),Age,65 and above,303
2015,REGION VIII (EASTERN VISAYAS),Age,65 and above,373
2015,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,141
2015,REGION X (NORTHERN MINDANAO),Age,65 and above,317
2015,REGION XI (DAVAO REGION),Age,65 and above,387
2015,REGION XII (SOCCSKSARGEN),Age,65 and above,168
2015,REGION XIII (Caraga),Age,65 and above,103
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,10
2015,NO INFO,Age,65 and above,0
2015,NATIONAL CAPITAL REGION (NCR),Age,No info,0
2015,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,0
2015,REGION I (ILOCOS REGION),Age,No info,0
2015,REGION II (CAGAYAN VALLEY),Age,No info,0
2015,REGION III (CENTRAL LUZON),Age,No info,0
2015,REGION IV-A (CALABARZON),Age,No info,0
2015,MIMAROPA REGION,Age,No info,0
2015,REGION V (BICOL REGION),Age,No info,0
2015,REGION VI (WESTERN VISAYAS),Age,No info,0
2015,REGION VII (CENTRAL VISAYAS),Age,No info,0
2015,REGION VIII (EASTERN VISAYAS),Age,No info,0
2015,REGION IX (ZAMBOANGA PENINSULA),Age,No info,0
2015,REGION X (NORTHERN MINDANAO),Age,No info,0
2015,REGION XI (DAVAO REGION),Age,No info,0
2015,REGION XII (SOCCSKSARGEN),Age,No info,0
2015,REGION XIII (Caraga),Age,No info,0
2015,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,0
2015,NO INFO,Age,No info,0
2016,NATIONAL CAPITAL REGION (NCR),Age,<25,23
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2016,REGION I (ILOCOS REGION),Age,<25,1
2016,REGION II (CAGAYAN VALLEY),Age,<25,0
2016,REGION III (CENTRAL LUZON),Age,<25,6
2016,REGION IV-A (CALABARZON),Age,<25,4
2016,MIMAROPA REGION,Age,<25,0
2016,REGION V (BICOL REGION),Age,<25,1
2016,REGION VI (WESTERN VISAYAS),Age,<25,1
2016,REGION VII (CENTRAL VISAYAS),Age,<25,1
2016,REGION VIII (EASTERN VISAYAS),Age,<25,1
2016,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2016,REGION X (NORTHERN MINDANAO),Age,<25,19
2016,REGION XI (DAVAO REGION),Age,<25,0
2016,REGION XII (SOCCSKSARGEN),Age,<25,0
2016,REGION XIII (Caraga),Age,<25,0
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2016,NO INFO,Age,<25,0
2016,NATIONAL CAPITAL REGION (NCR),Age,25-34,956
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,89
2016,REGION I (ILOCOS REGION),Age,25-34,59
2016,REGION II (CAGAYAN VALLEY),Age,25-34,38
2016,REGION III (CENTRAL LUZON),Age,25-34,150
2016,REGION IV-A (CALABARZON),Age,25-34,123
2016,MIMAROPA REGION,Age,25-34,10
2016,REGION V (BICOL REGION),Age,25-34,52
2016,REGION VI (WESTERN VISAYAS),Age,25-34,83
2016,REGION VII (CENTRAL VISAYAS),Age,25-34,287
2016,REGION VIII (EASTERN VISAYAS),Age,25-34,64
2016,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,83
2016,REGION X (NORTHERN MINDANAO),Age,25-34,43
2016,REGION XI (DAVAO REGION),Age,25-34,70
2016,REGION XII (SOCCSKSARGEN),Age,25-34,44
2016,REGION XIII (Caraga),Age,25-34,21
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,39
2016,NO INFO,Age,25-34,0
2016,NATIONAL CAPITAL REGION (NCR),Age,35-44,3470
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,318
2016,REGION I (ILOCOS REGION),Age,35-44,300
2016,REGION II (CAGAYAN VALLEY),Age,35-44,251
2016,REGION III (CENTRAL LUZON),Age,35-44,959
2016,REGION IV-A (CALABARZON),Age,35-44,1024
2016,MIMAROPA REGION,Age,35-44,72
2016,REGION V (BICOL REGION),Age,35-44,256
2016,REGION VI (WESTERN VISAYAS),Age,35-44,590
2016,REGION VII (CENTRAL VISAYAS),Age,35-44,599
2016,REGION VIII (EASTERN VISAYAS),Age,35-44,167
2016,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,251
2016,REGION X (NORTHERN MINDANAO),Age,35-44,271
2016,REGION XI (DAVAO REGION),Age,35-44,376
2016,REGION XII (SOCCSKSARGEN),Age,35-44,183
2016,REGION XIII (Caraga),Age,35-44,116
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,87
2016,NO INFO,Age,35-44,0
2016,NATIONAL CAPITAL REGION (NCR),Age,45-54,2800
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,241
2016,REGION I (ILOCOS REGION),Age,45-54,485
2016,REGION II (CAGAYAN VALLEY),Age,45-54,318
2016,REGION III (CENTRAL LUZON),Age,45-54,1068
2016,REGION IV-A (CALABARZON),Age,45-54,1216
2016,MIMAROPA REGION,Age,45-54,113
2016,REGION V (BICOL REGION),Age,45-54,346
2016,REGION VI (WESTERN VISAYAS),Age,45-54,647
2016,REGION VII (CENTRAL VISAYAS),Age,45-54,426
2016,REGION VIII (EASTERN VISAYAS),Age,45-54,180
2016,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,221
2016,REGION X (NORTHERN MINDANAO),Age,45-54,282
2016,REGION XI (DAVAO REGION),Age,45-54,345
2016,REGION XII (SOCCSKSARGEN),Age,45-54,278
2016,REGION XIII (Caraga),Age,45-54,113
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,57
2016,NO INFO,Age,45-54,0
2016,NATIONAL CAPITAL REGION (NCR),Age,55-64,2039
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,55-64,164
2016,REGION I (ILOCOS REGION),Age,55-64,441
2016,REGION II (CAGAYAN VALLEY),Age,55-64,245
2016,REGION III (CENTRAL LUZON),Age,55-64,671
2016,REGION IV-A (CALABARZON),Age,55-64,807
2016,MIMAROPA REGION,Age,55-64,116
2016,REGION V (BICOL REGION),Age,55-64,356
2016,REGION VI (WESTERN VISAYAS),Age,55-64,494
2016,REGION VII (CENTRAL VISAYAS),Age,55-64,314
2016,REGION VIII (EASTERN VISAYAS),Age,55-64,200
2016,REGION IX (ZAMBOANGA PENINSULA),Age,55-64,188
2016,REGION X (NORTHERN MINDANAO),Age,55-64,234
2016,REGION XI (DAVAO REGION),Age,55-64,242
2016,REGION XII (SOCCSKSARGEN),Age,55-64,253
2016,REGION XIII (Caraga),Age,55-64,113
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,55-64,56
2016,NO INFO,Age,55-64,0
2016,NATIONAL CAPITAL REGION (NCR),Age,65 and above,2725
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,65 and above,190
2016,REGION I (ILOCOS REGION),Age,65 and above,547
2016,REGION II (CAGAYAN VALLEY),Age,65 and above,214
2016,REGION III (CENTRAL LUZON),Age,65 and above,937
2016,REGION IV-A (CALABARZON),Age,65 and above,717
2016,MIMAROPA REGION,Age,65 and above,103
2016,REGION V (BICOL REGION),Age,65 and above,261
2016,REGION VI (WESTERN VISAYAS),Age,65 and above,283
2016,REGION VII (CENTRAL VISAYAS),Age,65 and above,291
2016,REGION VIII (EASTERN VISAYAS),Age,65 and above,373
2016,REGION IX (ZAMBOANGA PENINSULA),Age,65 and above,141
2016,REGION X (NORTHERN MINDANAO),Age,65 and above,317
2016,REGION XI (DAVAO REGION),Age,65 and above,387
2016,REGION XII (SOCCSKSARGEN),Age,65 and above,168
2016,REGION XIII (Caraga),Age,65 and above,100
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,65 and above,10
2016,NO INFO,Age,65 and above,31
2016,NATIONAL CAPITAL REGION (NCR),Age,No info,0
2016,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,No info,0
2016,REGION I (ILOCOS REGION),Age,No info,0
2016,REGION II (CAGAYAN VALLEY),Age,No info,0
2016,REGION III (CENTRAL LUZON),Age,No info,0
2016,REGION IV-A (CALABARZON),Age,No info,0
2016,MIMAROPA REGION,Age,No info,0
2016,REGION V (BICOL REGION),Age,No info,0
2016,REGION VI (WESTERN VISAYAS),Age,No info,0
2016,REGION VII (CENTRAL VISAYAS),Age,No info,0
2016,REGION VIII (EASTERN VISAYAS),Age,No info,0
2016,REGION IX (ZAMBOANGA PENINSULA),Age,No info,0
2016,REGION X (NORTHERN MINDANAO),Age,No info,0
2016,REGION XI (DAVAO REGION),Age,No info,0
2016,REGION XII (SOCCSKSARGEN),Age,No info,0
2016,REGION XIII (Caraga),Age,No info,0
2016,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,No info,0
2016,NO INFO,Age,No info,0
2017,NATIONAL CAPITAL REGION (NCR),Age,<25,25
2017,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,<25,0
2017,REGION I (ILOCOS REGION),Age,<25,1
2017,REGION II (CAGAYAN VALLEY),Age,<25,0
2017,REGION III (CENTRAL LUZON),Age,<25,6
2017,REGION IV-A (CALABARZON),Age,<25,4
2017,MIMAROPA REGION,Age,<25,0
2017,REGION V (BICOL REGION),Age,<25,1
2017,REGION VI (WESTERN VISAYAS),Age,<25,1
2017,REGION VII (CENTRAL VISAYAS),Age,<25,2
2017,REGION VIII (EASTERN VISAYAS),Age,<25,1
2017,REGION IX (ZAMBOANGA PENINSULA),Age,<25,0
2017,REGION X (NORTHERN MINDANAO),Age,<25,19
2017,REGION XI (DAVAO REGION),Age,<25,0
2017,REGION XII (SOCCSKSARGEN),Age,<25,0
2017,REGION XIII (Caraga),Age,<25,0
2017,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,<25,0
2017,NO INFO,Age,<25,0
2017,NATIONAL CAPITAL REGION (NCR),Age,25-34,1070
2017,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,25-34,93
2017,REGION I (ILOCOS REGION),Age,25-34,59
2017,REGION II (CAGAYAN VALLEY),Age,25-34,38
2017,REGION III (CENTRAL LUZON),Age,25-34,168
2017,REGION IV-A (CALABARZON),Age,25-34,131
2017,MIMAROPA REGION,Age,25-34,10
2017,REGION V (BICOL REGION),Age,25-34,67
2017,REGION VI (WESTERN VISAYAS),Age,25-34,83
2017,REGION VII (CENTRAL VISAYAS),Age,25-34,373
2017,REGION VIII (EASTERN VISAYAS),Age,25-34,65
2017,REGION IX (ZAMBOANGA PENINSULA),Age,25-34,83
2017,REGION X (NORTHERN MINDANAO),Age,25-34,71
2017,REGION XI (DAVAO REGION),Age,25-34,71
2017,REGION XII (SOCCSKSARGEN),Age,25-34,50
2017,REGION XIII (Caraga),Age,25-34,21
2017,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,25-34,40
2017,NO INFO,Age,25-34,0
2017,NATIONAL CAPITAL REGION (NCR),Age,35-44,4039
2017,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,35-44,321
2017,REGION I (ILOCOS REGION),Age,35-44,300
2017,REGION II (CAGAYAN VALLEY),Age,35-44,250
2017,REGION III (CENTRAL LUZON),Age,35-44,985
2017,REGION IV-A (CALABARZON),Age,35-44,1036
2017,MIMAROPA REGION,Age,35-44,72
2017,REGION V (BICOL REGION),Age,35-44,255
2017,REGION VI (WESTERN VISAYAS),Age,35-44,594
2017,REGION VII (CENTRAL VISAYAS),Age,35-44,643
2017,REGION VIII (EASTERN VISAYAS),Age,35-44,166
2017,REGION IX (ZAMBOANGA PENINSULA),Age,35-44,252
2017,REGION X (NORTHERN MINDANAO),Age,35-44,296
2017,REGION XI (DAVAO REGION),Age,35-44,375
2017,REGION XII (SOCCSKSARGEN),Age,35-44,189
2017,REGION XIII (Caraga),Age,35-44,115
2017,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,35-44,88
2017,NO INFO,Age,35-44,1
2017,NATIONAL CAPITAL REGION (NCR),Age,45-54,3098
2017,CORDILLERA ADMINISTRATIVE REGION (CAR),Age,45-54,241
2017,REGION I (ILOCOS REGION),Age,45-54,485
2017,REGION II (CAGAYAN VALLEY),Age,45-54,317
2017,REGION III (CENTRAL LUZON),Age,45-54,1082
2017,REGION IV-A (CALABARZON),Age,45-54,1224
2017,MIMAROPA REGION,Age,45-54,113
2017,REGION V (BICOL REGION),Age,45-54,346
2017,REGION VI (WESTERN VISAYAS),Age,45-54,648
2017,REGION VII (CENTRAL VISAYAS),Age,45-54,469
2017,REGION VIII (EASTERN VISAYAS),Age,45-54,180
2017,REGION IX (ZAMBOANGA PENINSULA),Age,45-54,218
2017,REGION X (NORTHERN MINDANAO),Age,45-54,299
2017,REGION XI (DAVAO REGION),Age,45-54,346
2017,REGION XII (SOCCSKSARGEN),Age,45-54,284
2017,REGION XIII (Caraga),Age,45-54,112
2017,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Age,45-54,60
2017,NO INFO,Age,45-54,0
